'text': 'I can't believe I won the lottery!', 'label': 1
'text': 'She left me without saying goodbye.', 'label': 0
'text': 'I'm so in love with my partner.', 'label': 2
'text': 'This traffic jam is infuriating!', 'label': 3
'text': 'I'm scared of spiders.', 'label': 4
'text': 'The surprise party was amazing!', 'label': 5
'text': 'I feel so lonely without my friends.', 'label': 0
'text': 'The sun is shining, and I'm feeling great!', 'label': 1
'text': 'Our wedding day was filled with love and joy.', 'label': 2
'text': 'Why did he say that? It makes me so angry!', 'label': 3
'text': 'I can't sleep because I'm worried about my exam.', 'label': 4
'text': 'I never expected to see you here!', 'label': 5
'text': 'I miss my family so much.', 'label': 0
'text': 'I got a promotion at work today!', 'label': 1
'text': 'I'm head over heels for you.', 'label': 2
'text': 'The way they treated me was completely unacceptable!', 'label': 3
'text': 'I have a terrible fear of heights.', 'label': 4
'text': 'The surprise guest made the event unforgettable.', 'label': 5
'text': 'It's been a tough week, and I feel down.', 'label': 0
'text': 'Going on a picnic with my friends makes me happy.', 'label': 1
'text': 'My heart aches after the loss of my pet.', 'label': 0
'text': 'I am thrilled to be going on vacation next week.', 'label': 1
'text': 'Our anniversary dinner was filled with romance.', 'label': 2
'text': 'His constant interruptions are driving me crazy.', 'label': 3
'text': 'Walking alone in the dark alley made me fearful.', 'label': 4
'text': 'I never expected such a generous gift from my boss!', 'label': 5
'text': 'I'm feeling blue after the end of my favorite show.', 'label': 0
'text': 'My new hobby brings me a lot of joy.', 'label': 1
'text': 'Their love for each other is truly inspiring.', 'label': 2
'text': 'I can't stand his arrogant attitude!', 'label': 3
'text': 'I always feel anxious before public speaking.', 'label': 4
'text': 'The twist in the movie left me speechless.', 'label': 5
'text': 'It's hard to be away from home for so long.', 'label': 0
'text': 'I had a fantastic day at the amusement park.', 'label': 1
'text': 'Watching my children grow fills my heart with love.', 'label': 2
'text': 'I am livid about the service I received at that store.', 'label': 3
'text': 'I'm afraid to confront my boss about the issue.', 'label': 4
'text': 'I couldn't believe my eyes when I saw the celebrity!', 'label': 5
'text': 'Losing my job has left me feeling defeated.', 'label': 0
'text': 'The weekend with my family was full of laughter and fun.', 'label': 1
'text': 'The rain is pouring, and my mood is somber.', 'label': 0
'text': 'I just finished a great workout session!', 'label': 1
'text': 'My partner's support means the world to me.', 'label': 2
'text': 'I can't believe he lied to me!', 'label': 3
'text': 'There's a strange noise outside, and it's making me nervous.', 'label': 4
'text': 'Seeing my best friend after years was a delightful surprise.', 'label': 5
'text': 'I can't help but feel sad when I think about my mistakes.', 'label': 0
'text': 'I'm so excited for the concert tonight!', 'label': 1
'text': 'The love I feel for my family is immeasurable.', 'label': 2
'text': 'The injustice of the situation makes my blood boil.', 'label': 3
'text': 'I always get scared during thunderstorms.', 'label': 4
'text': 'The unexpected plot twist left me in awe.', 'label': 5
'text': 'I'm feeling down after receiving some bad news.', 'label': 0
'text': 'I had a fantastic time at the beach today.', 'label': 1
'text': 'Our connection is so deep and meaningful.', 'label': 2
'text': 'His constant complaints are infuriating.', 'label': 3
'text': 'I'm worried about my upcoming job interview.', 'label': 4
'text': 'My friends threw me a surprise birthday party!', 'label': 5
'text': 'I feel so lost and alone in this new city.', 'label': 0
